ANOVA table for Choice 1 :
              sum_sq        df         F        PR(>F)
choice_1    0.049264      15.0  6.223669  2.352687e-13
Residual  131.919379  249988.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT FFIT-AWFIT  -0.0001    1.0 -0.0011  0.0009  False
AWFIT-AWFIT  FFIT-BFIT  -0.0001    1.0 -0.0011  0.0009  False
AWFIT-AWFIT  FFIT-FFIT   -0.001 0.0053 -0.0021    -0.0   True
AWFIT-AWFIT  FFIT-WFIT  -0.0001    1.0 -0.0011  0.0009  False
AWFIT-AWFIT WFIT-AWFIT  -0.0008 0.2082 -0.0018  0.0003  False
AWFIT-AWFIT  WFIT-BFIT  -0.0008 0.0923 -0.0019  0.0002  False
AWFIT-AWFIT  WFIT-FFIT  -0.0007 0.4605 -0.0017  0.0004  False
AWFIT-AWFIT  WFIT-WFIT      0.0    1.0  -0.001   0.001  False
 AWFIT-BFIT AWFIT-FFIT  -0.0003 0.9995 -0.0013  0.0007  False
 AWFIT-BFIT AWFIT-WFIT  -0.0008 0.1385 -0.0018  0.0002  False
 AWFIT-BFIT BFIT-AWFIT   0.0005 0.9314 -0.0006  0.0015  False
 AWFIT-BFIT  BFIT-BFIT  -0.0002    1.0 -0.0012  0.0008  False
 AWFIT-BFIT  BFIT-FFIT   -0.001 0.0058  -0.002    -0.0   True
 AWFIT-BFIT  BFIT-WFIT   0.0001    1.0 -0.0009  0.0011  False
 AWFIT-BFIT FFIT-AWFIT  -0.0001    1.0 -0.0011   0.001  False
 AWFIT-BFIT  FFIT-BFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-BFIT  FFIT-FFIT   -0.001 0.0061  -0.002    -0.0   True
 AWFIT-BFIT  FFIT-WFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-BFIT WFIT-AWFIT  -0.0007 0.2268 -0.0018  0.0003  False
