ANOVA table for Choice 1 :
             sum_sq        df          F        PR(>F)
choice_1   0.032010      15.0  22.472328  1.166753e-62
Residual  23.739296  249990.0        NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
 AWFIT-WFIT WFIT-AWFIT   0.0015    0.0  0.0011   0.002   True
 AWFIT-WFIT  WFIT-BFIT   0.0019    0.0  0.0014  0.0023   True
 AWFIT-WFIT  WFIT-FFIT   0.0019    0.0  0.0014  0.0024   True
 AWFIT-WFIT  WFIT-WFIT   0.0008    0.0  0.0002  0.0013   True
 BFIT-AWFIT  BFIT-BFIT     -0.0    1.0 -0.0004  0.0004  False
 BFIT-AWFIT  BFIT-FFIT   0.0001    1.0 -0.0004  0.0005  False
 BFIT-AWFIT  BFIT-WFIT  -0.0015    0.0  -0.002  -0.001   True
 BFIT-AWFIT FFIT-AWFIT  -0.0001    1.0 -0.0005  0.0004  False
 BFIT-AWFIT  FFIT-BFIT  -0.0001 0.9998 -0.0005  0.0003  False
 BFIT-AWFIT  FFIT-FFIT   0.0006    0.0  0.0002   0.001   True
 BFIT-AWFIT  FFIT-WFIT  -0.0007    0.0 -0.0012 -0.0003   True
 BFIT-AWFIT WFIT-AWFIT   0.0001 0.9985 -0.0003  0.0005  False
 BFIT-AWFIT  WFIT-BFIT   0.0004  0.002     0.0  0.0008   True
 BFIT-AWFIT  WFIT-FFIT   0.0005 0.0002  0.0001  0.0009   True
 BFIT-AWFIT  WFIT-WFIT  -0.0006 0.0001 -0.0011 -0.0001   True
  BFIT-BFIT  BFIT-FFIT   0.0001    1.0 -0.0003  0.0005  False
  BFIT-BFIT  BFIT-WFIT  -0.0015    0.0  -0.002  -0.001   True
  BFIT-BFIT FFIT-AWFIT  -0.0001    1.0 -0.0005  0.0004  False
  BFIT-BFIT  FFIT-BFIT  -0.0001    1.0 -0.0005  0.0003  False
  BFIT-BFIT  FFIT-FFIT   0.0006    0.0  0.0002   0.001   True
  BFIT-BFIT  FFIT-WFIT  -0.0007    0.0 -0.0012 -0.0003   True
  BFIT-BFIT WFIT-AWFIT   0.0001 0.9894 -0.0003  0.0006  False
  BFIT-BFIT  WFIT-BFIT   0.0005 0.0004  0.0001  0.0009   True
  BFIT-BFIT  WFIT-FFIT   0.0005    0.0  0.0001  0.0009   True
  BFIT-BFIT  WFIT-WFIT  -0.0006 0.0001 -0.0011 -0.0001   True
  BFIT-FFIT  BFIT-WFIT  -0.0016    0.0  -0.002 -0.0011   True
  BFIT-FFIT FFIT-AWFIT  -0.0001 0.9987 -0.0005  0.0003  False
  BFIT-FFIT  FFIT-BFIT  -0.0002 0.9747 -0.0006  0.0002  False
  BFIT-FFIT  FFIT-FFIT   0.0005    0.0  0.0001  0.0009   True
  BFIT-FFIT  FFIT-WFIT  -0.0008    0.0 -0.0013 -0.0003   True
  BFIT-FFIT WFIT-AWFIT   0.0001    1.0 -0.0003  0.0005  False
  BFIT-FFIT  WFIT-BFIT   0.0004 0.0071     0.0  0.0008   True
  BFIT-FFIT  WFIT-FFIT   0.0005 0.0009  0.0001  0.0009   True
  BFIT-FFIT  WFIT-WFIT  -0.0007    0.0 -0.0012 -0.0002   True
  BFIT-WFIT FFIT-AWFIT   0.0014    0.0   0.001  0.0019   True
  BFIT-WFIT  FFIT-BFIT   0.0014    0.0  0.0009  0.0019   True
  BFIT-WFIT  FFIT-FFIT   0.0021    0.0  0.0016  0.0026   True
  BFIT-WFIT  FFIT-WFIT   0.0008    0.0  0.0002  0.0013   True
  BFIT-WFIT WFIT-AWFIT   0.0016    0.0  0.0012  0.0021   True
  BFIT-WFIT  WFIT-BFIT    0.002    0.0  0.0015  0.0024   True
  BFIT-WFIT  WFIT-FFIT    0.002    0.0  0.0016  0.0025   True
  BFIT-WFIT  WFIT-WFIT   0.0009    0.0  0.0003  0.0014   True
 FFIT-AWFIT  FFIT-BFIT     -0.0    1.0 -0.0004  0.0004  False
 FFIT-AWFIT  FFIT-FFIT   0.0007    0.0  0.0003  0.0011   True
 FFIT-AWFIT  FFIT-WFIT  -0.0007    0.0 -0.0012 -0.0002   True
 FFIT-AWFIT WFIT-AWFIT   0.0002 0.8802 -0.0002  0.0006  False
 FFIT-AWFIT  WFIT-BFIT   0.0005    0.0  0.0001  0.0009   True
 FFIT-AWFIT  WFIT-FFIT   0.0006    0.0  0.0002   0.001   True
 FFIT-AWFIT  WFIT-WFIT  -0.0006 0.0007 -0.0011 -0.0001   True
  FFIT-BFIT  FFIT-FFIT   0.0007    0.0  0.0003  0.0011   True
  FFIT-BFIT  FFIT-WFIT  -0.0006    0.0 -0.0011 -0.0002   True
  FFIT-BFIT WFIT-AWFIT   0.0002 0.6327 -0.0002  0.0006  False
  FFIT-BFIT  WFIT-BFIT   0.0006    0.0  0.0002  0.0009   True
  FFIT-BFIT  WFIT-FFIT   0.0006    0.0  0.0002   0.001   True
  FFIT-BFIT  WFIT-WFIT  -0.0005 0.0019  -0.001 -0.0001   True
  FFIT-FFIT  FFIT-WFIT  -0.0013    0.0 -0.0018 -0.0009   True
  FFIT-FFIT WFIT-AWFIT  -0.0005 0.0007 -0.0009 -0.0001   True
  FFIT-FFIT  WFIT-BFIT  -0.0001 0.9847 -0.0005  0.0002  False
  FFIT-FFIT  WFIT-FFIT  -0.0001    1.0 -0.0005  0.0003  False
  FFIT-FFIT  WFIT-WFIT  -0.0012    0.0 -0.0017 -0.0008   True
  FFIT-WFIT WFIT-AWFIT   0.0009    0.0  0.0004  0.0014   True
  FFIT-WFIT  WFIT-BFIT   0.0012    0.0  0.0007  0.0017   True
  FFIT-WFIT  WFIT-FFIT   0.0013    0.0  0.0008  0.0017   True
  FFIT-WFIT  WFIT-WFIT   0.0001    1.0 -0.0004  0.0007  False
 WFIT-AWFIT  WFIT-BFIT   0.0003 0.1212 -0.0001  0.0007  False
 WFIT-AWFIT  WFIT-FFIT   0.0004 0.0226    -0.0  0.0008  False
 WFIT-AWFIT  WFIT-WFIT  -0.0008    0.0 -0.0013 -0.0003   True
  WFIT-BFIT  WFIT-FFIT   0.0001    1.0 -0.0003  0.0005  False
  WFIT-BFIT  WFIT-WFIT  -0.0011    0.0 -0.0016 -0.0006   True
  WFIT-FFIT  WFIT-WFIT  -0.0012    0.0 -0.0017 -0.0007   True
-------------------------------------------------------------

ANOVA table for Choice 3 :
             sum_sq        df           F  PR(>F)
choice_3   0.440775      15.0  314.864324     0.0
Residual  23.330531  249990.0         NaN     NaN

Tukey HSD test results for Choice 3:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT  -0.0003   0.08 -0.0007  0.0001  False
AWFIT-AWFIT AWFIT-FFIT  -0.0003 0.1352 -0.0007  0.0001  False
AWFIT-AWFIT AWFIT-WFIT  -0.0047    0.0 -0.0053 -0.0042   True
AWFIT-AWFIT BFIT-AWFIT     -0.0    1.0 -0.0004  0.0003  False
AWFIT-AWFIT  BFIT-BFIT   0.0002 0.4739 -0.0001  0.0006  False
AWFIT-AWFIT  BFIT-FFIT  -0.0004 0.0025 -0.0007    -0.0   True
AWFIT-AWFIT  BFIT-WFIT  -0.0036    0.0 -0.0041  -0.003   True
AWFIT-AWFIT FFIT-AWFIT  -0.0004 0.0341 -0.0008     0.0  False
AWFIT-AWFIT  FFIT-BFIT  -0.0013    0.0 -0.0017  -0.001   True
AWFIT-AWFIT  FFIT-FFIT  -0.0011    0.0 -0.0014 -0.0007   True
AWFIT-AWFIT  FFIT-WFIT  -0.0046    0.0 -0.0053  -0.004   True
AWFIT-AWFIT WFIT-AWFIT  -0.0024    0.0 -0.0029 -0.0018   True
AWFIT-AWFIT  WFIT-BFIT  -0.0032    0.0 -0.0037 -0.0027   True
AWFIT-AWFIT  WFIT-FFIT   -0.003    0.0 -0.0035 -0.0025   True
AWFIT-AWFIT  WFIT-WFIT  -0.0063    0.0 -0.0072 -0.0053   True
 AWFIT-BFIT AWFIT-FFIT      0.0    1.0 -0.0003  0.0004  False
 AWFIT-BFIT AWFIT-WFIT  -0.0044    0.0  -0.005 -0.0039   True
 AWFIT-BFIT BFIT-AWFIT   0.0003 0.1712 -0.0001  0.0006  False
 AWFIT-BFIT  BFIT-BFIT   0.0005    0.0  0.0002  0.0009   True
 AWFIT-BFIT  BFIT-FFIT  -0.0001 0.9999 -0.0004  0.0002  False
 AWFIT-BFIT  BFIT-WFIT  -0.0033    0.0 -0.0038 -0.0027   True
 AWFIT-BFIT FFIT-AWFIT  -0.0001    1.0 -0.0004  0.0003  False
 AWFIT-BFIT  FFIT-BFIT   -0.001    0.0 -0.0014 -0.0007   True
 AWFIT-BFIT  FFIT-FFIT  -0.0008    0.0 -0.0011 -0.0004   True
 AWFIT-BFIT  FFIT-WFIT  -0.0043    0.0  -0.005 -0.0037   True
 AWFIT-BFIT WFIT-AWFIT   -0.002    0.0 -0.0026 -0.0015   True
 AWFIT-BFIT  WFIT-BFIT  -0.0029    0.0 -0.0033 -0.0024   True
 AWFIT-BFIT  WFIT-FFIT  -0.0027    0.0 -0.0032 -0.0022   True
 AWFIT-BFIT  WFIT-WFIT  -0.0059    0.0 -0.0069  -0.005   True
 AWFIT-FFIT AWFIT-WFIT  -0.0044    0.0  -0.005 -0.0039   True
 AWFIT-FFIT BFIT-AWFIT   0.0003 0.2658 -0.0001  0.0006  False
 AWFIT-FFIT  BFIT-BFIT   0.0005    0.0  0.0002  0.0009   True
 AWFIT-FFIT  BFIT-FFIT  -0.0001 0.9999 -0.0004  0.0003  False
 AWFIT-FFIT  BFIT-WFIT  -0.0033    0.0 -0.0038 -0.0027   True
 AWFIT-FFIT FFIT-AWFIT  -0.0001    1.0 -0.0004  0.0003  False
 AWFIT-FFIT  FFIT-BFIT   -0.001    0.0 -0.0014 -0.0007   True
 AWFIT-FFIT  FFIT-FFIT  -0.0008    0.0 -0.0011 -0.0004   True
 AWFIT-FFIT  FFIT-WFIT  -0.0044    0.0  -0.005 -0.0037   True
 AWFIT-FFIT WFIT-AWFIT  -0.0021    0.0 -0.0026 -0.0015   True
 AWFIT-FFIT  WFIT-BFIT  -0.0029    0.0 -0.0034 -0.0024   True
 AWFIT-FFIT  WFIT-FFIT  -0.0027    0.0 -0.0032 -0.0022   True
 AWFIT-FFIT  WFIT-WFIT   -0.006    0.0 -0.0069  -0.005   True
 AWFIT-WFIT BFIT-AWFIT   0.0047    0.0  0.0042  0.0053   True
 AWFIT-WFIT  BFIT-BFIT    0.005    0.0  0.0044  0.0055   True
 AWFIT-WFIT  BFIT-FFIT   0.0044    0.0  0.0038  0.0049   True
 AWFIT-WFIT  BFIT-WFIT   0.0012    0.0  0.0005  0.0019   True
 AWFIT-WFIT FFIT-AWFIT   0.0044    0.0  0.0038   0.005   True
 AWFIT-WFIT  FFIT-BFIT   0.0034    0.0  0.0029   0.004   True
 AWFIT-WFIT  FFIT-FFIT   0.0037    0.0  0.0031  0.0042   True
 AWFIT-WFIT  FFIT-WFIT   0.0001    1.0 -0.0006  0.0008  False
 AWFIT-WFIT WFIT-AWFIT   0.0024    0.0  0.0017  0.0031   True
 AWFIT-WFIT  WFIT-BFIT   0.0016    0.0  0.0009  0.0022   True
