ANOVA table for Choice 1 :
             sum_sq        df         F        PR(>F)
choice_1   0.029919      15.0  5.949394  1.381979e-12
Residual  83.811334  249987.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
  BFIT-BFIT  FFIT-WFIT  -0.0025    0.0 -0.0034 -0.0016   True
  BFIT-BFIT WFIT-AWFIT  -0.0009 0.0029 -0.0016 -0.0001   True
  BFIT-BFIT  WFIT-BFIT  -0.0004 0.7457 -0.0012  0.0003  False
  BFIT-BFIT  WFIT-FFIT  -0.0002 0.9984  -0.001  0.0005  False
  BFIT-BFIT  WFIT-WFIT  -0.0031    0.0  -0.004 -0.0023   True
  BFIT-FFIT  BFIT-WFIT  -0.0022    0.0  -0.003 -0.0013   True
  BFIT-FFIT FFIT-AWFIT   0.0003 0.9691 -0.0005  0.0011  False
  BFIT-FFIT  FFIT-BFIT   0.0005 0.5176 -0.0003  0.0012  False
  BFIT-FFIT  FFIT-FFIT  -0.0001    1.0 -0.0009  0.0007  False
  BFIT-FFIT  FFIT-WFIT  -0.0018    0.0 -0.0026 -0.0009   True
  BFIT-FFIT WFIT-AWFIT  -0.0001    1.0 -0.0009  0.0007  False
  BFIT-FFIT  WFIT-BFIT   0.0003 0.9358 -0.0004  0.0011  False
  BFIT-FFIT  WFIT-FFIT   0.0005  0.371 -0.0002  0.0013  False
  BFIT-FFIT  WFIT-WFIT  -0.0024    0.0 -0.0032 -0.0016   True
  BFIT-WFIT FFIT-AWFIT   0.0025    0.0  0.0016  0.0034   True
  BFIT-WFIT  FFIT-BFIT   0.0026    0.0  0.0018  0.0035   True
  BFIT-WFIT  FFIT-FFIT   0.0021    0.0  0.0012  0.0029   True
  BFIT-WFIT  FFIT-WFIT   0.0004 0.9232 -0.0005  0.0013  False
  BFIT-WFIT WFIT-AWFIT   0.0021    0.0  0.0012  0.0029   True
  BFIT-WFIT  WFIT-BFIT   0.0025    0.0  0.0017  0.0033   True
  BFIT-WFIT  WFIT-FFIT   0.0027    0.0  0.0018  0.0035   True
  BFIT-WFIT  WFIT-WFIT  -0.0002 0.9998 -0.0011  0.0007  False
 FFIT-AWFIT  FFIT-BFIT   0.0002    1.0 -0.0006  0.0009  False
 FFIT-AWFIT  FFIT-FFIT  -0.0004 0.7976 -0.0012  0.0004  False
 FFIT-AWFIT  FFIT-WFIT  -0.0021    0.0 -0.0029 -0.0012   True
 FFIT-AWFIT WFIT-AWFIT  -0.0004 0.8038 -0.0012  0.0004  False
 FFIT-AWFIT  WFIT-BFIT      0.0    1.0 -0.0008  0.0008  False
 FFIT-AWFIT  WFIT-FFIT   0.0002 0.9999 -0.0006   0.001  False
 FFIT-AWFIT  WFIT-WFIT  -0.0027    0.0 -0.0036 -0.0019   True
  FFIT-BFIT  FFIT-FFIT  -0.0006 0.2179 -0.0013  0.0002  False
  FFIT-BFIT  FFIT-WFIT  -0.0022    0.0 -0.0031 -0.0014   True
  FFIT-BFIT WFIT-AWFIT  -0.0006 0.2306 -0.0014  0.0002  False
  FFIT-BFIT  WFIT-BFIT  -0.0001    1.0 -0.0009  0.0006  False
  FFIT-BFIT  WFIT-FFIT      0.0    1.0 -0.0007  0.0008  False
  FFIT-BFIT  WFIT-WFIT  -0.0029    0.0 -0.0037 -0.0021   True
  FFIT-FFIT  FFIT-WFIT  -0.0017    0.0 -0.0025 -0.0008   True
  FFIT-FFIT WFIT-AWFIT     -0.0    1.0 -0.0008  0.0008  False
  FFIT-FFIT  WFIT-BFIT   0.0004 0.6877 -0.0003  0.0012  False
  FFIT-FFIT  WFIT-FFIT   0.0006 0.1328 -0.0002  0.0014  False
  FFIT-FFIT  WFIT-WFIT  -0.0023    0.0 -0.0031 -0.0015   True
  FFIT-WFIT WFIT-AWFIT   0.0017    0.0  0.0008  0.0025   True
  FFIT-WFIT  WFIT-BFIT   0.0021    0.0  0.0012  0.0029   True
  FFIT-WFIT  WFIT-FFIT   0.0023    0.0  0.0014  0.0031   True
  FFIT-WFIT  WFIT-WFIT  -0.0006 0.2634 -0.0015  0.0002  False
 WFIT-AWFIT  WFIT-BFIT   0.0004 0.6985 -0.0003  0.0012  False
 WFIT-AWFIT  WFIT-FFIT   0.0006  0.143 -0.0002  0.0014  False
 WFIT-AWFIT  WFIT-WFIT  -0.0023    0.0 -0.0031 -0.0015   True
  WFIT-BFIT  WFIT-FFIT   0.0002 0.9999 -0.0006  0.0009  False
  WFIT-BFIT  WFIT-WFIT  -0.0027    0.0 -0.0035 -0.0019   True
  WFIT-FFIT  WFIT-WFIT  -0.0029    0.0 -0.0037 -0.0021   True
-------------------------------------------------------------

ANOVA table for Choice 3 :
             sum_sq        df            F  PR(>F)
choice_3   4.796319      15.0  1011.253874     0.0
Residual  79.044934  249987.0          NaN     NaN

Tukey HSD test results for Choice 3:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0024    0.0  0.0017   0.003   True
AWFIT-AWFIT AWFIT-FFIT  -0.0007 0.0053 -0.0015    -0.0   True
AWFIT-AWFIT AWFIT-WFIT  -0.0141    0.0 -0.0154 -0.0128   True
AWFIT-AWFIT BFIT-AWFIT   0.0012    0.0  0.0005  0.0019   True
AWFIT-AWFIT  BFIT-BFIT   0.0037    0.0   0.003  0.0043   True
AWFIT-AWFIT  BFIT-FFIT   0.0007 0.0082     0.0  0.0014   True
AWFIT-AWFIT  BFIT-WFIT  -0.0133    0.0 -0.0145 -0.0121   True
AWFIT-AWFIT FFIT-AWFIT  -0.0002 0.9994 -0.0009  0.0005  False
AWFIT-AWFIT  FFIT-BFIT   0.0023    0.0  0.0017   0.003   True
AWFIT-AWFIT  FFIT-FFIT  -0.0003 0.9669  -0.001  0.0004  False
AWFIT-AWFIT  FFIT-WFIT  -0.0141    0.0 -0.0154 -0.0128   True
AWFIT-AWFIT WFIT-AWFIT   -0.009    0.0   -0.01  -0.008   True
AWFIT-AWFIT  WFIT-BFIT  -0.0076    0.0 -0.0085 -0.0067   True
